,NAME,LATITUDE,LONGITUDE,ST_NUM,ST_NAME,ST_NAME_SUF,ZIPCODE,CATEGORY
100056000.0,CABANALV  INC,783331.0,2963346.0,254  256,BENNINGTON,ST ,2128.0,Food access
100079000.0,FAZIO ENTERPRISES,783751.0,2963716.0,392  -398,CHELSEA,ST ,2128.0,Commercial
100085000.0,PEREZ MIRZA,783616.0,2963555.0,300 ,BENNINGTON,ST ,2128.0,Commercial
100086000.0,TRUONG NGHIA,783594.0,2963536.0,296  A298,BENNINGTON,ST ,2128.0,Commercial
100087000.0,ROBERTO RITA M,783573.0,2963518.0,294 ,BENNINGTON,ST ,2128.0,Food access
100090000.0,STEPHANIES LAND COMPANY INC,783517.0,2963473.0,288 ,BENNINGTON,ST ,2128.0,Food access
100091000.0,SPINELLI RAVIOLI MFG CO INC,783472.0,2963472.0,282  286,BENNINGTON,ST ,2128.0,Commercial
100092000.0,ROBERTO LOUIE TS,783416.0,2963427.0,276  280,BENNINGTON,ST ,2128.0,Food access
100094000.0,ROBERTO RITA,783374.0,2963371.0,262  264,BENNINGTON,ST ,2128.0,Commercial
100120001.0,CARUSO STEVEN CHARLES,783758.0,2963985.0,27 ,SHELBY,ST ,2128.0,Commercial
100121000.0,CARUSO STEVEN CHARLES,783788.0,2963925.0,33 ,SHELBY,ST ,2128.0,Commercial
100264000.0,MNA REAL ESTATE HOLDING LLC,783986.0,2964292.0, ,E EAGLE,ST ,2128.0,Commercial
100265000.0,MNA REAL ESTATE HOLDING LLC,784046.0,2964284.0, ,E EAGLE,ST ,2128.0,Commercial
100266000.0,MNA REAL ESTATE HOLDING LLC,784020.0,2964255.0, ,PRINCETON,ST ,2128.0,Commercial
100267000.0,MNA REAL ESTATE HOLDING LLC,783997.0,2964243.0, ,PRINCETON,ST ,2128.0,Commercial
100283000.0,30 PROPERTIES LLC,783896.0,2964057.0,345  345R,PRINCETON,ST ,2128.0,Commercial
100290000.0,MNA REAL ESTATE HOLDING LLC,784043.0,2964155.0, ,PRINCETON,ST ,2128.0,Commercial
100291000.0,MNA REAL ESTATE HOLDING LLC,784064.0,2964168.0, ,PRINCETON,ST ,2128.0,Commercial
100292000.0,MNA REAL ESTATE HOLDING LLC,784109.0,2964163.0,2 4,EAGLE,SQ ,2128.0,Commercial
100306000.0,30 PROPERTIES LLC,783861.0,2964025.0,30 ,SHELBY,ST ,2128.0,Commercial
100315000.0,SCHIRRIPA FRANK TS,783465.0,2963152.0,343  345,CHELSEA,ST ,2128.0,Commercial
100316000.0,IMBRIANO URSULA,783463.0,2963186.0,347  A347,CHELSEA,ST ,2128.0,Food access
100321000.0,ROBERTO LOUIE,783559.0,2963279.0,359  361,CHELSEA,ST ,2128.0,Commercial
100324000.0,THREE-71 CHELSEA STREET LLC,783613.0,2963345.0,371 ,CHELSEA,ST ,2128.0,Commercial
100335000.0,GAVEGNANO HENRY J,783833.0,2963431.0, ,BREMEN,ST ,2128.0,Commercial
100338000.0,NGO BINH C,783769.0,2963367.0,404 ,BREMEN,ST ,2128.0,Commercial
100343000.0,LAR PROPERTY MANAGEMENT LLC,783645.0,2963249.0, ,BREMEN,ST ,2128.0,Commercial
100344000.0,LAR PROPERTY MANAGEMENT LLC,783632.0,2963233.0,368 ,BREMEN,ST ,2128.0,Commercial
100348000.0,50 LEBANON STREET REALTY TRUST,783530.0,2963114.0,98 ,PRESCOTT,ST ,2128.0,Commercial
100434000.0,TOSCO TERMINAL CO,787569.0,2969609.0, ,BELLE ISLE INLET,,2128.0,Commercial
100435000.0,HERTZ RLTY CORP,787412.0,2969042.0, ,BELLE ISLE INLET,,2128.0,Commercial
100436000.0,BASSETT PETER J GP,786059.0,2966523.0, ,BOSTON AND MAINE RR,,2128.0,Commercial
100437000.0,CUBE SMART LP,785679.0,2965794.0,150 ,WM F MCCLELLAN,HW,2128.0,Commercial
100438010.0,HORIZON/MCCLELLAN LLC MASS LLC,785470.0,2965749.0, ,WM F MCCLELLAN,HW,2128.0,Commercial
100460000.0,SUNOCO PARTNERS MARKETING &,784529.0,2964352.0,441  445,CHELSEA,ST ,2128.0,Commercial
100461000.0,SUNOCO PARTNERS MARKETING &,784653.0,2964498.0,481 ,CHELSEA,ST ,2128.0,Commercial
100463000.0,CJE REALTY LLC,784148.0,2963820.0,452 ,BREMEN,ST ,2128.0,Commercial
100465000.0,MCBENJC FAMILY LIMITED,784042.0,2963754.0,356  354,BENNINGTON,ST ,2128.0,Food access
100467000.0,YOUNG JOSEPH E ETAL,783990.0,2963720.0, ,BENNINGTON,ST ,2128.0,Food access
100468000.0,JEVELI ERIC TS,783872.0,2963673.0,336  344,BENNINGTON,ST ,2128.0,Food access
100477000.0,CJE REALTY LLC,784035.0,2963832.0,413 ,CHELSEA,ST ,2128.0,Commercial
100478000.0,CJE REALTY LLC,784051.0,2963850.0,415 ,CHELSEA,ST ,2128.0,Commercial
100479000.0,CJE REALTY LLC,784067.0,2963869.0, ,CHELSEA,ST ,2128.0,Commercial
