,name,address,zip,lat,lon,category
0,Masjid Al-Noor,28 Circuit Street,02119,42.323270284092544,-71.08589606687022,social
1,Masjidun Lil Hamidulillah,724 Shawmut Avenue,02119,42.33277928478987,-71.08324739890666,social
2,Yousuf Masjid,186 Chestnut Hill Avenue,02135,42.34092522172813,-71.15451129370093,social
3,Chabad House,491 Commonwealth Avenue,02215,42.34937729809826,-71.09432105348367,social
4,Temple Hillel Bnai Torah,120 Corey Street,02132,42.287727276893214,-71.15697108308599,social
5,The Boston Synagogue,55 Martha Road,02114,42.36535732701823,-71.06627105564702,social
6,Congregation Beth David,64 Corey Road,02134,42.340207296329105,-71.1428210961657,social
7,Havurah on the Hill at the Vilna Shul,18 Phillips Street,02114,42.360207295712364,-71.06722104776088,social
8,Chabad Boston: The Jewish Center and Central Synagogue of Boston,118 Beacon Street,02116,42.35526274531702,-71.07413322110264,social
9,Zvhil-Mezbuz Beis Medrash - Congregation Bnai Jacob,"15 School Street, 2nd floor",02108,42.357737294648416,-71.05874105126341,social
10,Central Reform Temple of Boston,15 Newbury Street,02116,42.35260729265093,-71.07240105691079,social
11,Beth Chomesh Synagogue,29 Chestnut Hill Avenue,02135,42.34787729886332,-71.15440111563085,social
12,"Peoples Baptist Church (NBU,UBC)",134 Camden Street,02118,42.338137304185935,-71.0818810570858,social
13,Eglise Baptiste du Bon Berger,487 Ashmont Street,02122,42.28868729138548,-71.05324105107489,social
14,Bethel A.M.E. Church-Boston,38 Walk Hill Street,02130,42.294651154799716,-71.11468716655304,social
15,Charles Street A.M.E Church,551 Warren Street,02121,42.312792979944795,-71.08374156526664,social
16,Pleasant Hill Missionary Baptist Church,155 Humboldt Avenue,02121,42.31455729427196,-71.08873107974345,social
17,Iglesia Evangelica Nueva Vida,77 Stratford Street,02132,42.28313282477428,-71.15049554189416,social
18,Maranatha Ministry,1076 Washington Street,02128,42.274347283078264,-71.06963102643859,social
19,Tremont Temple,88 Tremont Street,02109,42.3575073132277,-71.06052103042867,social
20,Eglise Baptiste Pierre Angulaire,164 Belgrade Avenue,02131,42.286174231628664,-71.13716996395337,social
21,Eglise Baptiste Evangelique,5160 Washington Street,02132,42.262097251660194,-71.15567109137638,social
22,New Church,6 Samoset Street,02124,42.29195729171088,-71.0647810427757,social
23,Iglesia Bautista Hispanoamericana,88 Tremont Street,02108,42.3575073132277,-71.06052103042867,social
24,Chapel of the Holy Spirit,5 Park Street,02108,42.35733805119352,-71.06252998960412,social
25,Most Precious Blood,25 Maple Street,02136,42.255032263738975,-71.12281009553932,social
26,Holy Name,1689 Centre Street,02132,42.28806026719974,-71.14666708372715,social
27,Saint Brendan,589 Gallivan Blvd,02124,42.28282380796122,-71.05156578638821,social
28,Sacred Heart,303 Paris Street,02128,42.37653634919195,-71.03254502429003,social
29,Saint Christopher,265 Mt Vernon Street,02125,42.318775423325775,-71.04632002483719,social
30,Saint Joseph,68 William Cardinal O'Connell Way,02114,42.363126322493116,-71.06534203271703,social
31,Saint James the Greater,125 Harrison Avenue,02111,42.35034730285447,-71.06211105123549,social
32,Annunciation Cathedral,7 VFW Parkway,02132,42.2975032988751,-71.13426706740977,social
33,Holy Family,24 Hartford Street,02125,42.31699076133627,-71.072578627055,social
34,Saint Anthony of Padua,43 Holton Street,02134,42.36015289667114,-71.13503715552302,social
35,Saint Ambrose,240 Adams Street,02122,42.30090933971812,-71.0588025649559,social
36,Saint Cecilia,18 Belvidere Street,02115,42.346539310486904,-71.08639106971904,social
37,Saint Ann,243 Neponset Avenue,02122,42.29015618981524,-71.04892251633716,social
38,Saint Clement Eucharistic Shrine,1105 Boylston Street,02215,42.34694729594626,-71.08993106341468,social
39,Sacred Heart,169 Cummins Highway,02131,42.28187024418586,-71.12292304717597,social
40,Saint Matthew,39 Stanton Street,02124,42.28416535279601,-71.0798528893447,social
41,Saint Patrick,10 Magazine Street,02119,42.32566081512703,-71.07483233767493,social
42,Saint Anne,90 W. Milton Street,02136,42.239031743274154,-71.13692403954082,social
43,Saint Columbkille,321 Market Street,02135,42.35205205186975,-71.15220227924111,social
44,Saint Angela Merici,1540 Blue Hill Avenue,02126,42.27140627750014,-71.09311407942553,social
45,Saint Mary - Saint Catherine of Siena,55 Warren Street,02129,42.37402403165632,-71.0615267713053,social
46,Saint Gregory,2223 Dorchester Avenue,02124,42.27500429246765,-71.06793456080166,social
