Age_yrs,Education_level,Income_level,Gender,Random_twin_split,P-SDQ_Emo,P-SDQ_Conduct,P-SDQ_Hyper,P-SDQ_Peer,P-SDQ_Procosial,P-SDQ_Total_Problems,P-EATQ_Aggression,C-EATQ_Aggression,C_IBSbully,C_IBSvictim,C_IBSfight,Bully_Fight,Bully_Victim,C_IBS_Total,coop1,coop_rt1,coop2,coop_rt2,coop3,coop_rt3,coop4,coop_rt4,coop5,coop_rt5,coop6,coop_rt6,coop7,coop_rt7,coop8,coop_rt8,coop9,coop_rt9,coop10,coop_rt10,Strategy
16,9,7,1,1,1,0,5,0,6,6,14,18,3,0,0,3,3,3,CC,11.59,CC,8.23,CD,5.09,DC,7.02,CC,5.590000000000003,CC,7.5,CD,11.189999999999998,DC,5.689999999999998,DC,8.240000000000002,DC,9.349999999999994,other
16,7,5,1,1,3,0,1,0,10,4,13,32,3,0,1,4,3,4,CC,10.2,CC,4.350000000000001,CD,4.199999999999999,DC,4.300000000000001,DC,4.210000000000001,CC,3.91,CD,4.3799999999999955,DC,3.740000000000002,DC,3.719999999999999,DC,4.130000000000003,other
13,7,7,2,1,4,0,1,0,10,5,11,26,0,0,0,0,0,0,CC,12.67,CC,3.9700000000000006,CD,4.879999999999999,DC,4.260000000000002,DC,5.140000000000001,CC,5.079999999999998,CD,4.759999999999998,CC,5.93,CC,4.550000000000004,CC,7.169999999999995,other
14,9,9,2,2,1,1,1,0,5,3,20,22,0,0,0,0,0,0,DC,12.76,CC,11.88,DD,5.169999999999998,DC,7.180000000000003,CC,5.939999999999998,CC,8.21,DD,7.019999999999996,DC,6.180000000000007,CC,6.609999999999999,DC,6.709999999999994,draw blood
14,7,8,2,1,3,3,8,3,6,17,19,26,2,5,2,4,7,9,CC,11.18,CC,3.67,CD,3.83,DC,5.300000000000001,CC,4.34,CC,3.979999999999997,CD,3.6300000000000026,DC,3.8299999999999983,CC,4.660000000000004,CC,4.640000000000001,other
13,9,8,1,2,0,0,2,1,10,3,12,15,0,1,0,0,1,1,CC,10.03,CC,3.99,CD,3.9800000000000004,DC,5.800000000000001,CC,4.489999999999998,CC,3.8599999999999994,CD,3.950000000000003,DC,3.740000000000002,CC,3.8299999999999983,CC,5.0,other
14,9,5,1,2,0,0,1,2,8,3,18,23,2,2,0,2,4,4,DC,9.06,DC,6.4399999999999995,DD,4.149999999999999,DC,3.9700000000000024,DC,6.050000000000001,DC,4.539999999999999,DD,4.109999999999999,DC,4.589999999999996,DC,4.990000000000002,DC,4.8700000000000045,draw blood
12,9,10,2,2,1,0,5,0,10,6,9,17,0,0,0,0,0,0,CC,8.75,CC,4.539999999999999,CD,4.010000000000002,DC,3.9299999999999997,CC,5.359999999999999,DC,4.0,CD,3.870000000000001,DC,5.5,CC,5.589999999999996,CC,5.07,other
15,8,7,1,1,0,0,0,0,9,0,13,31,2,0,0,2,2,2,CC,12.0,CC,3.4800000000000004,CD,4.059999999999999,CC,4.240000000000002,CC,3.4299999999999997,CC,3.5199999999999996,CD,4.23,DC,4.170000000000002,CC,4.439999999999998,CC,6.530000000000001,other
13,9,6,1,1,5,0,0,0,10,5,10,27,5,2,0,5,7,7,DC,15.01,DC,4.6899999999999995,DD,5.490000000000002,DC,5.869999999999997,DC,5.739999999999998,DC,14.800000000000004,DD,4.460000000000001,DC,3.809999999999995,DC,5.640000000000008,DC,5.199999999999989,draw blood
13,9,9,2,2,0,0,2,1,7,3,12,25,1,0,0,1,1,1,CC,17.22,DC,5.720000000000002,DD,7.349999999999998,CC,7.550000000000004,DC,7.279999999999994,DC,6.210000000000001,CD,6.18,CC,6.160000000000004,DC,6.469999999999999,DC,5.640000000000001,draw blood
16,6,6,1,2,0,0,2,0,10,2,14,28,2,0,1,3,2,3,DC,21.1,DC,5.959999999999997,DD,3.460000000000001,DC,4.120000000000001,DC,3.6300000000000026,DC,3.9599999999999937,DD,3.730000000000004,DC,4.109999999999999,DC,3.490000000000002,DC,3.469999999999999,draw blood
15,9,8,1,1,3,0,5,2,10,10,10,24,0,1,0,0,1,1,CC,9.03,CC,4.290000000000001,CD,5.48,CC,5.279999999999998,CC,5.580000000000002,CC,5.27,DD,4.719999999999999,DC,4.460000000000001,CC,5.289999999999999,CC,5.43,other
15,7,9,1,1,0,0,1,0,10,1,15,22,0,2,0,0,2,2,CC,11.8,CC,3.799999999999999,CD,3.5000000000000018,CC,4.169999999999998,CC,4.760000000000002,CC,3.66,CD,4.330000000000002,CC,4.439999999999998,CC,4.740000000000002,DC,4.1299999999999955,other
15,9,7,2,1,1,0,3,0,10,4,9,18,0,0,0,0,0,0,CC,10.63,CC,5.67,DD,5.57,CC,5.550000000000001,DC,5.449999999999996,CC,5.880000000000003,DD,5.619999999999997,CC,5.039999999999999,DC,4.650000000000006,CC,5.059999999999995,draw blood
15,9,9,2,2,3,0,1,1,8,5,15,32,7,0,0,7,7,7,CC,10.15,CC,3.549999999999999,CD,3.5700000000000003,DC,5.539999999999999,CC,6.110000000000003,CC,4.789999999999999,CD,4.119999999999997,DC,3.75,CC,4.289999999999999,DC,4.210000000000001,other
15,9,9,2,1,0,0,0,1,9,1,11,21,4,0,0,4,4,4,DC,9.72,DC,3.889999999999999,DD,3.5100000000000016,DC,3.5700000000000003,DC,3.919999999999998,DC,3.6900000000000013,CD,5.830000000000002,DC,4.479999999999997,DC,3.710000000000001,DC,4.5,draw blood
13,2,6,2,1,7,1,1,0,7,9,18,32,3,0,0,3,3,3,DC,7.21,DC,3.79,DD,5.25,DC,3.719999999999999,DC,5.600000000000001,CC,5.759999999999998,CD,4.82,DC,4.960000000000001,DC,4.009999999999998,DC,4.980000000000004,draw blood
13,7,7,2,2,0,4,7,4,7,15,23,34,1,0,0,1,1,1,CC,11.44,CC,3.9800000000000004,CD,3.7500000000000018,DC,3.889999999999997,CC,3.620000000000001,CC,3.9200000000000017,CD,4.289999999999999,DC,3.740000000000002,CC,4.219999999999999,DC,4.949999999999996,other
14,9,7,2,1,4,2,2,1,10,9,13,23,1,0,0,1,1,1,CC,9.32,CC,4.969999999999999,CD,4.210000000000001,DC,4.73,CC,4.239999999999998,CC,4.080000000000002,CD,3.900000000000002,DC,3.729999999999997,CC,4.640000000000001,CC,5.009999999999998,other
