City/Town,Ward,Precinct,Democratic,Republican, Libertarian ,Green-Rainbow,All Others,No Preference,Blanks,Total Votes Cast
Abington, -,1,1037.00,764.00,29.00,6.00,8.00,0.00,16.00,1860.00
Abington, -,2,960.00,838.00,23.00,16.00,4.00,0.00,9.00,1850.00
Abington, -,3,954.00,848.00,31.00,8.00,3.00,0.00,9.00,1853.00
Abington, -,4,1117.00,904.00,28.00,7.00,6.00,0.00,26.00,2088.00
Abington, -,5,1141.00,882.00,35.00,8.00,3.00,0.00,15.00,2084.00
Acton, -,1,1761.00,447.00,24.00,11.00,8.00,0.00,16.00,2267.00
Acton, -,2,1912.00,441.00,30.00,13.00,12.00,0.00,21.00,2429.00
Acton, -,3,1834.00,388.00,34.00,15.00,12.00,0.00,18.00,2301.00
Acton, -,4,2051.00,416.00,40.00,9.00,16.00,0.00,12.00,2544.00
Acton, -,5,1897.00,396.00,44.00,15.00,22.00,0.00,14.00,2388.00
Acton, -,6,1650.00,383.00,21.00,11.00,14.00,0.00,10.00,2089.00
Acushnet, -,1,815.00,924.00,23.00,12.00,3.00,0.00,14.00,1791.00
Acushnet, -,2,932.00,1176.00,28.00,8.00,3.00,0.00,18.00,2165.00
Acushnet, -,3,917.00,1190.00,22.00,10.00,5.00,0.00,26.00,2170.00
Adams, -,1,527.00,253.00,13.00,9.00,2.00,0.00,1.00,805.00
Adams, -,2,574.00,291.00,18.00,5.00,2.00,0.00,9.00,899.00
Adams, -,3,601.00,324.00,17.00,7.00,2.00,0.00,6.00,957.00
Adams, -,4,512.00,269.00,13.00,6.00,1.00,0.00,4.00,805.00
Adams, -,5,680.00,291.00,16.00,8.00,0.00,0.00,7.00,1002.00
Agawam, -,1,825.00,922.00,19.00,5.00,6.00,0.00,7.00,1784.00
Agawam, -,2,1036.00,1121.00,26.00,8.00,3.00,0.00,21.00,2215.00
Agawam, -,3,1022.00,1041.00,24.00,11.00,10.00,0.00,4.00,2112.00
Agawam, -,4,848.00,836.00,26.00,5.00,7.00,0.00,6.00,1728.00
Agawam, -,5,1131.00,1074.00,18.00,17.00,5.00,0.00,5.00,2250.00
Agawam, -,6,930.00,954.00,25.00,12.00,8.00,0.00,14.00,1943.00
Agawam, -,7,910.00,1074.00,29.00,9.00,11.00,0.00,9.00,2042.00
Agawam, -,8,1092.00,1051.00,19.00,7.00,8.00,0.00,11.00,2188.00
