actor,action,count(case_action_id)
"Administrator/rix CTA","Appointment of agent filed",1
"Administrator/rix CTA","Bond without sureties filed",1
"Administrator/rix CTA","Certificate of Death filed",90
"Administrator/rix CTA","Copy of will filed",4
"Administrator/rix CTA","Military affidavit filed",3
"Administrator/rix CTA","Petition for Administration",53
"Administrator/rix CTA","Petition for Allowance of Acco",1
"Administrator/rix CTA","Petition for Order of Complete",14
"Administrator/rix CTA","Petition for Probate of Foreig",5
"Administrator/rix CTA","Petition for Probate of Will a",6
"Administrator/rix CTA","Petition for Sale of Real Esta",11
Administrator/trix,"Affidavit filed",1
Administrator/trix,"Appointment of agent filed",19
Administrator/trix,"Bond with sureties filed",5
Administrator/trix,"Bond without sureties filed",30
Administrator/trix,"Certificate of Death filed",5276
Administrator/trix,"Copy of will filed",2
Administrator/trix,"Decree and Order of Formal Pro",7
Administrator/trix,"Military affidavit filed",55
Administrator/trix,"Petition for Administration",3876
Administrator/trix,"Petition for Allowance of Acco",19
Administrator/trix,"Petition for Formal Probate",2
Administrator/trix,"Petition for Informal Probate",1
Administrator/trix,"Petition for Order of Complete",535
Administrator/trix,"Petition for Probate of Foreig",9
Administrator/trix,"Petition for Probate of Will a",32
Administrator/trix,"Petition for Removal of Person",1
Administrator/trix,"Petition for Sale of Real Esta",638
Administrator/trix,"Petition for Special Administr",38
Administrator/trix,"Statement of Voluntary Adminis",3
Administrator/trix,"UCC filed",6
"All Parties","Memorandum filed",2
"All Parties","Motion withdrawn",6
"All Parties","Original note filed",1
"All Parties","Pre-Trial Memorandum",234
Commissioner,"Affidavit filed",2
Commissioner,"Appearance filed",1
Commissioner,"Event resulted",1
Court,"Affidavit in support of motion",45
Court,"Agreement for Judgment",47362
Court,"Answer filed",40
Court,"Appearance filed",200
Court,"Application filed",1
Court,Arbitration,1
Court,"Bankruptcy stay of proceedings",5
Court,"Bond approved",355
Court,Capias,687342
Court,"Capias expired",14559
Court,"Capias returned",972
Court,"Capias returned unserved",6200
Court,"Case inactivated",1392340
Court,"Case management conference",43181
Court,"Certificate of Death filed",1
Court,"Complaint filed",15
Court,Continuance,31634
Court,"Counsel added",1
Court,"Counsel withdrawal",1
Court,"Debtor before the court",17223
Court,Default,76624
Court,"Default Removed",1006
Court,Dismissal,26276
Court,"Event cancelled",40108
Court,"Event resulted",646460
Court,"Event scheduled",2127847
Court,"Ex Parte hearing",69
Court,Execution,80626
Court,"Execution satisfied",7169
Court,"Execution unsatisfied",1532
Court,"Execution Writ",1
Court,"Fee due",77418
Court,"Fee paid",6
Court,"Fee waived",122
Court,Hearing,208
Court,"Interpreter requested",2164
Court,Judgment,329961
Court,"Judgment amended",5
Court,"Judgment debtor able to pay",50
Court,"Judgment debtor unable to pay",33977
Court,"Judgment vacated",3076
Court,Mediation,354
Court,"Memorandum filed",5
Court,"Military affidavit filed",7
Court,"Misc Notes",109149
Court,"Motion allowed",32353
Court,"Motion denied",2421
Court,"Motion for default judgment",21
Court,"Motion for final judgment for ",5
Court,"Motion for new capias",16
Court,"Motion for successive service ",2
Court,"Motion to assess damages",6
Court,"Motion to attach by trustee pr",111
Court,"Motion to compel discovery",3
Court,"Motion to issue execution",9
Court,"Motion to remove default",6
Court,"Motion to strike answer",2
Court,"Motion to transfer",24
Court,"Motion to vacate dismissal",4
Court,"Motion to vacate judgment",16
Court,"Motion withdrawn",2
Court,"Must file to avoid judgment",1
Court,"No capias returned",18
Court,"No Parties Present",145
Court,"Notice of appeal",1
Court,"Notice of dismissal",220
Court,"Notice of dismissal filed",72
Court,"Notice of intent to offer medi",2
Court,"Notice of potential default",1
Court,"Notice of potential dismissal",12644
Court,"Notice of trial",587388
Court,"Notice sent",63484
Court,"Order for Informal Probate",389
Court,"Order Nisi",17
Court,"Order Nisi for Dismissal",5160
Court,"Original note filed",6
Court,"Payment order",403243
Court,"Payment review",2489
Court,"Pre-Trial conference",911
Court,"Pre-Trial Memorandum",267
Court,"Request for continuance",3
Court,"Return of Execution",1
Court,"Return of Service",58967
Court,"Satisfaction of judgment",6
Court,"Settlement agreement",950
Court,"Statement of small claim filed",1
Court,"Status Review",190
Court,"Suggestion of bankruptcy filed",32
Court,Summons,511272
Court,"Transfer of case",428
Court,Trial,65
Court,"Under Advisement",2194
Court,"Verification of Defendant's Ad",1
"Court Clinic","Answer filed",2
Decedent,"Affidavit filed",1
Decedent,"Affidavit in support of motion",1
Decedent,"Answer filed",1
Decedent,"Appearance filed",2
Decedent,"Certificate of Death filed",50
Decedent,"Counsel added",1
Decedent,"Motion allowed",5
Decedent,"Motion for default judgment",2
Decedent,"Motion to issue execution",1
Decedent,"Petition for Formal Probate",2
Decedent,"UCC filed",64
Defendant,"Acknowledgement of service",31242
Defendant,"Affidavit filed",10301
Defendant,"Affidavit in support of motion",1685
Defendant,"Agreement for Judgment",660
Defendant,"Amended Answer filed",22
Defendant,"Answer filed",137697
Defendant,"Answer to counterclaim filed",926
Defendant,"Appearance filed",179741
Defendant,"Certificate of Death filed",1
Defendant,"Change of address",10681
Defendant,"Complaint filed",2312
Defendant,Continuance,1777
Defendant,"Corporate disclosure statement",9875
Defendant,"Counsel added",90312
Defendant,"Counsel withdrawal",7596
Defendant,"Counterclaim filed",5785
Defendant,"Debtor before the court",7
Defendant,Default,529
Defendant,"Demand for Jury Trial",27326
Defendant,"Deposit in Court",49
Defendant,Dismissal,6008
Defendant,"Entry of Action filed",1
Defendant,"Event cancelled",70
Defendant,"Event resulted",302
Defendant,"Event scheduled",216
Defendant,"Execution unsatisfied",5
Defendant,"Fee due",34
Defendant,"Fee paid",21
Defendant,Judgment,38
Defendant,"Judgment debtor able to pay",1
Defendant,"Judgment debtor unable to pay",2
Defendant,"Judgment vacated",54
Defendant,"Memorandum filed",6481
Defendant,"Military affidavit filed",14
Defendant,"Misc Notes",9
Defendant,"Motion allowed",1893
Defendant,"Motion denied",717
Defendant,"Motion for continuance",1970
Defendant,"Motion for default judgment",5105
Defendant,"Motion for exemption from time",1
Defendant,"Motion for final judgment for ",1
Defendant,"Motion for judgment on the ple",132
Defendant,"Motion for new capias",94
Defendant,"Motion for successive service ",187
Defendant,"Motion for summary judgment",12825
Defendant,"Motion to amend judgment",20
Defendant,"Motion to appoint special proc",262
Defendant,"Motion to approve transfer of ",1
Defendant,"Motion to assess attorney fees",44
Defendant,"Motion to assess damages",339
Defendant,"Motion to attach by trustee pr",795
Defendant,"Motion to compel discovery",4449
Defendant,"Motion to dismiss counterclaim",40
Defendant,"Motion to inspect records",82
Defendant,"Motion to issue execution",907
Defendant,"Motion to lift garnishment",1
Defendant,"Motion to remove default",20523
Defendant,"Motion to stay execution",2
Defendant,"Motion to strike answer",140
Defendant,"Motion to Substitute a Party",182
Defendant,"Motion to transfer",2557
Defendant,"Motion to vacate dismissal",331
Defendant,"Motion to vacate judgment",3416
Defendant,"Motion withdrawn",307
Defendant,"Notice of appeal",2919
Defendant,"Notice of dismissal",1203
Defendant,"Notice of dismissal filed",2066
Defendant,"Notice of intent to offer medi",85
Defendant,"Notice sent",6
Defendant,"Opposition to motion",1376
Defendant,"Order Nisi for Dismissal",1
Defendant,"Original note filed",290
Defendant,"Payment order",75
Defendant,"Payment review",1
Defendant,"Pre-Trial conference",22
Defendant,"Pre-Trial Memorandum",483
Defendant,"Request for admissions filed",1136
Defendant,"Request for continuance",1
Defendant,"Return of Service",80
Defendant,"Satisfaction of judgment",19
Defendant,"Settlement agreement",2
Defendant,"Statement of damages filed",165
Defendant,"Statement of small claim filed",2588
Defendant,"Suggestion of bankruptcy filed",565
Defendant,"Suggestion of death filed",1
Defendant,Summons,44
Defendant,"Third-party cross-claim filed",280
Defendant,"Transfer of case",2
Defendant,"UCC filed",5098
Defendant,"Under Advisement",8
Defendant,"Verification of Defendant's Ad",7
Defendant,"Waiver of Award of Pre-Judgmen",536
Defendant,"Waiver of jury trial",38
Defendant,"Witness list filed",200
"Defendant Intervenor","Affidavit filed",1
"Defendant Intervenor","Answer filed",3
"Defendant Intervenor","Event resulted",1
Defendant-Intervenor,"Affidavit in support of motion",2
Defendant-Intervenor,"Agreement for Judgment",1
Defendant-Intervenor,"Answer filed",20
Defendant-Intervenor,"Complaint filed",20
Defendant-Intervenor,"Counsel added",23
Defendant-Intervenor,"Motion allowed",3
Defendant-Intervenor,"Motion denied",3
Defendant-Intervenor,"Motion for summary judgment",5
Defendant-Intervenor,"Motion to strike answer",1
Executor/trix,"Appointment of agent filed",61
Executor/trix,"Bond with sureties filed",2
Executor/trix,"Bond without sureties filed",201
Executor/trix,"Certificate of Death filed",13125
Executor/trix,"Copy of will filed",138
Executor/trix,"Decree and Order of Formal Pro",25
Executor/trix,"Military affidavit filed",184
Executor/trix,"Motion to accept copy of will",3
Executor/trix,"Petition for Administration",57
Executor/trix,"Petition for Allowance of Acco",77
Executor/trix,"Petition for Appointment of Tr",12
Executor/trix,"Petition for Formal Probate",18
Executor/trix,"Petition for Informal Probate",9
Executor/trix,"Petition for Order of Complete",1771
Executor/trix,"Petition for Probate of Foreig",297
Executor/trix,"Petition for Probate of Will a",8955
Executor/trix,"Petition for Removal of Person",2
Executor/trix,"Petition for Sale of Real Esta",309
Executor/trix,"Petition for Special Administr",2
Executor/trix,"Statement of Voluntary Adminis",2
Executor/trix,"UCC filed",13
Executor/trix--Executor/rix--A,"Military affidavit filed",28
"Guardian Ad Litem","Affidavit filed",1
"Guardian Ad Litem","Answer filed",9
"Guardian Ad Litem","Counterclaim filed",1
"Guardian Ad Litem","Event resulted",2
"Guardian Ad Litem","Motion allowed",1
"Guardian Ad Litem","Motion to remove default",1
"Guardian Ad Litem","Motion to transfer",1
"Interersted Party","Answer filed",4
"Interersted Party","Event scheduled",2
"Interersted Party","Motion allowed",1
"Interested Party","Affidavit filed",70
"Interested Party","Agreement for Judgment",1
"Interested Party","Answer filed",35
"Interested Party","Complaint filed",1
"Interested Party","Event resulted",13
"Interested Party","Motion denied",1
"Interested Party","Motion to strike answer",1
"Interested Person","Certificate of Death filed",889
"Interested Person","Copy of will filed",6
"Interested Person","Decree and Order of Formal Pro",1
"Interested Person","Petition for Formal Probate",2
"Interested Person","Statement of Voluntary Adminis",75
Intervenor,"Counsel added",1
Intervenor,"Event scheduled",1
Intervenor,"Motion allowed",1
"Keeper of Record","Affidavit in support of motion",2
"Keeper of Record","Counsel added",1
"Keeper of Record","Motion allowed",4
Notes,"No capias returned",92
Notes,"System Notes",193242
Objector,"Affidavit filed",1
Objector,"Answer filed",10
Objector,"Memorandum filed",1
Objector,"Motion allowed",1
Objector,"UCC filed",7
Other,"Answer filed",5
Other,"Motion allowed",3
Other,"UCC filed",4
"Other interested party","Acknowledgement of service",3
"Other interested party","Affidavit filed",126
"Other interested party","Affidavit in support of motion",91
"Other interested party","Agreement for Judgment",3
"Other interested party","Answer filed",232
"Other interested party","Answer to counterclaim filed",1
"Other interested party","Appearance filed",5
"Other interested party","Complaint filed",129
"Other interested party","Corporate disclosure statement",2
"Other interested party","Counsel added",717
"Other interested party","Counsel withdrawal",3
"Other interested party","Counterclaim filed",10
"Other interested party",Default,27
"Other interested party","Demand for Jury Trial",3
"Other interested party",Dismissal,54
"Other interested party","Event scheduled",3
"Other interested party","Fee paid",2
"Other interested party","Military affidavit filed",1
"Other interested party","Motion allowed",117
"Other interested party","Motion denied",48
"Other interested party","Motion for default judgment",3
"Other interested party","Motion for summary judgment",104
"Other interested party","Motion to assess damages",1
"Other interested party","Motion to compel discovery",1
"Other interested party","Motion to strike answer",4
"Other interested party","Notice of dismissal",1
"Other interested party","Notice of intent to offer medi",10
"Other interested party","Pre-Trial conference",1
"Other interested party","Pre-Trial Memorandum",7
"Other interested party","Return of Service",3
"Other interested party","Suggestion of bankruptcy filed",2
"Other interested party",Summons,6
"Other interested party",Trial,1
"Other interested party","Waiver of jury trial",1
"Personal Representative","Affidavit filed",1
"Personal Representative","Appointment of agent filed",31
"Personal Representative","Bond with sureties filed",3
"Personal Representative","Bond without sureties filed",635
"Personal Representative","Certificate of Death filed",35275
"Personal Representative","Copy of will filed",422
"Personal Representative","Decree and Order of Formal Pro",15341
"Personal Representative","Military affidavit filed",874
"Personal Representative","Motion allowed",2
"Personal Representative","Motion to accept copy of will",12
"Personal Representative","Motion to amend Voluntary Admi",1
"Personal Representative","Petition for Administration",624
"Personal Representative","Petition for Allowance of Acco",84
"Personal Representative","Petition for Appointment of Tr",7
"Personal Representative","Petition for Formal Probate",5361
"Personal Representative","Petition for Informal Probate",8887
"Personal Representative","Petition for Order of Complete",2347
"Personal Representative","Petition for Probate of Foreig",24
"Personal Representative","Petition for Probate of Will a",1763
"Personal Representative","Petition for Removal of Person",5
"Personal Representative","Petition for Sale of Real Esta",1276
"Personal Representative","Petition for Special Administr",2
"Personal Representative","Statement of Voluntary Adminis",174
"Personal Representative","UCC filed",71
Petitioner,"Affidavit filed",7
Petitioner,"Affidavit in support of motion",1
Petitioner,"Answer filed",4
Petitioner,"Appointment of agent filed",11
Petitioner,"Bond with sureties filed",1
Petitioner,"Bond without sureties filed",30
Petitioner,"Certificate of Death filed",8863
Petitioner,"Complaint filed",5
Petitioner,"Copy of will filed",74
Petitioner,"Counsel added",349
Petitioner,"Counterclaim filed",1
Petitioner,"Decree and Order of Formal Pro",960
Petitioner,"Military affidavit filed",31
Petitioner,"Motion to amend Voluntary Admi",2
Petitioner,"Petition for Administration",138
Petitioner,"Petition for Allowance of Acco",15
