action,description
Waiver of Award of Pre-Judgmen,Waiver of Award of Pre-Judgment Interest filed
Waiver of Award of Pre-Judgmen,Waiver of Award of Pre-Judgment Interest filed.
Waiver of Award of Pre-Judgmen,Waiver of Award of Pre-Judgment Interest filed.
Waiver of Award of Pre-Judgmen,Waiver of Award of Pre-Judgment Interest filed
Waiver of Award of Pre-Judgmen,Waiver of Award of Pre-Judgment Interest filed
Waiver of Award of Pre-Judgmen,Waiver of Award of Pre-Judgment Interest filed
Waiver of Award of Pre-Judgmen,Waiver of Award of Pre-Judgment Interest filed
Waiver of Award of Pre-Judgmen,Waiver of Award of Pre-Judgment Interest filed
Waiver of Award of Pre-Judgmen,Waiver of Award of Pre-Judgment Interest filed by Plaintiff.
Waiver of Award of Pre-Judgmen,"Waiver of Award of Pre-Judgment Interest filed."
Witness list filed,Plaintiff's Witness List filed
Witness list filed,Deft's Witness List filed
Witness list filed,Plaintiff's Witness List filed.
Witness list filed,Defendant's Witness List filed.
Witness list filed,Defendant's Witness List filed.
Witness list filed,Plaintiff's Witness List filed.
Witness list filed,Deft's witness list filed.
Witness list filed,Pltff's witness list filed.
Witness list filed,Deft's witness list filed.
Witness list filed,Trial Witness List filed by Paul Leblanc.
Waiver of jury trial,1-27-2012 Waiver of jury filed by D01  BELFIELD D. CAMPBELL (Mass.R.Civ.P. 39(a)).
Waiver of jury trial,"Waiver of jury filed by Deborah Perry.
DEFENDANT WAIVES RIGHT TO APPEAL - JURY TRIAL CANCELLED"
Waiver of jury trial,"Waiver of jury filed by Leandro C Yiana.(in Open Court)"
Waiver of jury trial,Waiver of jury filed by all parties.
Waiver of jury trial,"Waiver of jury filed by Clifford Johnson.and by Defendant, Fabrizia Macchiavelli"
Waiver of jury trial,Waiver of jury filed by Latoya Horton A/K/A Latoya M Horton.
Waiver of jury trial,Waiver of jury filed by all parties (Mass.R.Civ.P. 39(a)) filed in court.
Waiver of jury trial,Waiver of jury filed by P01  JOHN MCNICHOLAS.
Waiver of jury trial,Waiver of jury filed by Jay Sidman (Mass.R.Civ.P. 39(a)).
Waiver of jury trial,Waiver of jury filed by all parties (Mass.R.Civ.P. 39(a)).
Waiver of Attorneys Fees filed,Misc Entry:  Plaintiff files Waiver of Attorneys fees.
Waiver of Attorneys Fees filed,Misc Entry:  Plaintiff files Waiver of Attorneys fees.
Waiver of Attorneys Fees filed,Plaintiff files Waiver of Attorneys fees.
Waiver of Attorneys Fees filed,Plaintiff files Waiver of Attorneys fees.
Waiver of Attorneys Fees filed,Plaintiff files Waiver of Attorneys fees.
Waiver of Attorneys Fees filed,Plaintiff files Waiver of Attorneys fees.
Waiver of Attorneys Fees filed,Plaintiff files waiver of attorneys fees.
Waiver of Attorneys Fees filed,Plaintiff files Waiver of Attorneys fees.
Waiver of Attorneys Fees filed,Plaintiff files waiver of attorneys fees.
Waiver of Attorneys Fees filed,Plaintiff files waiver of attorneys fees.
Under Advisement,"11-4-11 Motions Taken under advisement ( Baylor, Hon. Robert E. )."
Under Advisement,Taken under advisement.
Under Advisement,"8-12-2011 Motion for attachment by trustee process (Mass.R.Civ.P. 4.2[g]) heard ( Baylor, Hon. Robert E. ) (Tape 5th session  ). TAKEN UNDER ADVISEMENT"
Under Advisement,"9-9-2011 Motion to assess damages (Mass.R.Civ.P. 55[b][4]) heard ( Baylor, Hon. Robert E. ) (Tape 5th session from 11:51 to 12:00 ). TAKEN UNDER ADVISEMENT"
Under Advisement,Taken under advisement.
Under Advisement,Taken under advisement.
Under Advisement,Taken under advisement.
Under Advisement,Taken under advisement.
Under Advisement,Taken under advisement.
Under Advisement,Taken under advisement.
UCC filed,ADR Uniform Counsel Certifcation filed by plainfiff's attorney.
UCC filed,ADR Uniform Counsel Certifcation filed by plainfiff's attorney.
UCC filed,ADR Uniform Counsel Certifcation filed by plainfiff's attorney.
UCC filed,ADR Uniform Counsel Certifcation filed by plainfiff's attorney.
UCC filed,ADR Uniform Counsel Certifcation filed by plainfiff's attorney.
UCC filed,ADR Uniform Counsel Certifcation filed by plainfiff's attorney.
UCC filed,ADR Uniform Counsel Certifcation filed by plainfiff's attorney.
UCC filed,ADR Uniform Counsel Certifcation filed by plainfiff's attorney.
UCC filed,ADR Uniform Counsel Certifcation filed by plainfiff's attorney.
