seq_id,ct10_id,geoid,logrecno,acs_year,totpop,totpop_me,nhpop,nhpop_me,nhwhi,nhwhi_me,nhaa,nhaa_me,nhna,nhna_me,nhas,nhas_me,nhpi,nhpi_me,nhoth,nhoth_me,nhmlt,nhmlt_me,lat,lat_me,nh_p,nh_mep,nhwhi_p,nhwhi_mep,nhaa_p,nhaa_mep,nhna_p,nhna_mep,nhas_p,nhas_mep,nhpi_p,nhpi_mep,nhoth_p,nhoth_mep,nhmlt_p,nhmlt_mep,lat_p,lat_mep
1482,25025980700,14000US25025980700,2205,2014-18,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,,,
1479,25005990000,14000US25005990000,1132,2014-18,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,,,
1480,25009221901,14000US25009221901,1221,2014-18,3197,247,3187,247,3144,233,0,12,0,12,18,31,0,12,0,12,25,40,10,17,99.6899999999999977,0.609999999999999987,98.34000000000000341,10.52999999999999936,0.000000000000000000,0.380000000000000004,0.000000000000000000,0.380000000000000004,0.560000000000000053,0.969999999999999973,0.000000000000000000,0.380000000000000004,0.000000000000000000,0.380000000000000004,0.780000000000000027,1.250000000000000000,0.309999999999999998,0.530000000000000027
1481,25023990003,14000US25023990003,2012,2014-18,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,,,,,,,
1483,25001010100,14000US25001010100,911,2014-18,2960,15,2857,72,2652,122,46,54,0,12,35,29,0,12,0,12,124,91,103,70,96.5199999999999960,2.379999999999999893,89.59000000000000341,4.09999999999999964,1.550000000000000044,1.820000000000000062,0.000000000000000000,0.409999999999999976,1.179999999999999938,0.979999999999999982,0.000000000000000000,0.409999999999999976,0.000000000000000000,0.409999999999999976,4.190000000000000391,3.069999999999999840,3.479999999999999982,2.359999999999999876
1484,25001010206,14000US25001010206,912,2014-18,3481,225,3469,226,3150,234,64,61,0,12,115,93,0,12,21,31,119,163,12,12,99.6599999999999966,0.810000000000000053,90.48999999999999488,3.31000000000000005,1.840000000000000080,1.750000000000000000,0.000000000000000000,0.340000000000000024,3.299999999999999822,2.660000000000000142,0.000000000000000000,0.340000000000000024,0.599999999999999978,0.890000000000000013,3.419999999999999929,4.679999999999999716,0.340000000000000024,0.340000000000000024
1485,25001010208,14000US25001010208,913,2014-18,1254,228,1243,225,1211,220,27,40,0,12,0,12,0,12,0,12,5,7,11,16,99.1200000000000045,25.429999999999999716,96.56999999999999318,24.82000000000000028,2.149999999999999911,3.169999999999999929,0.000000000000000000,0.959999999999999964,0.000000000000000000,0.959999999999999964,0.000000000000000000,0.959999999999999964,0.000000000000000000,0.959999999999999964,0.400000000000000022,0.550000000000000044,0.880000000000000004,1.270000000000000018
1486,25001010304,14000US25001010304,914,2014-18,2431,240,2413,243,2267,257,22,32,0,12,101,96,0,12,0,12,23,27,18,21,99.2600000000000051,1.969999999999999973,93.25000000000000000,5.20000000000000018,0.900000000000000022,1.310000000000000053,0.000000000000000000,0.489999999999999991,4.150000000000000355,3.930000000000000160,0.000000000000000000,0.489999999999999991,0.000000000000000000,0.489999999999999991,0.949999999999999956,1.110000000000000098,0.739999999999999991,0.859999999999999987
1487,25001010306,14000US25001010306,915,2014-18,2462,239,2441,237,2232,270,105,130,0,12,15,23,0,12,39,50,50,65,21,32,99.1500000000000057,0.170000000000000012,90.65999999999999659,6.54000000000000004,4.259999999999999787,5.259999999999999787,0.000000000000000000,0.489999999999999991,0.609999999999999987,0.930000000000000049,0.000000000000000000,0.489999999999999991,1.580000000000000071,2.029999999999999805,2.029999999999999805,2.629999999999999893,0.849999999999999978,1.300000000000000044
1488,25001010400,14000US25001010400,916,2014-18,3044,308,3010,311,2700,304,257,172,0,12,53,69,0,12,0,12,0,12,34,32,98.8799999999999955,2.069999999999999840,88.70000000000000284,4.37999999999999989,8.439999999999999503,5.589999999999999858,0.000000000000000000,0.390000000000000013,1.739999999999999991,2.259999999999999787,0.000000000000000000,0.390000000000000013,0.000000000000000000,0.390000000000000013,0.000000000000000000,0.390000000000000013,1.120000000000000107,1.050000000000000044
1489,25001010500,14000US25001010500,917,2014-18,2777,308,2729,305,2724,306,5,9,0,12,0,12,0,12,0,12,0,12,48,45,98.2699999999999960,1.350000000000000089,98.09000000000000341,1.75000000000000000,0.179999999999999993,0.320000000000000007,0.000000000000000000,0.429999999999999993,0.000000000000000000,0.429999999999999993,0.000000000000000000,0.429999999999999993,0.000000000000000000,0.429999999999999993,0.000000000000000000,0.429999999999999993,1.729999999999999982,1.610000000000000098
1490,25001010600,14000US25001010600,918,2014-18,3077,268,2932,265,2766,242,114,105,0,12,18,28,0,12,0,12,34,38,145,151,95.2900000000000063,2.299999999999999822,89.89000000000000057,0.73999999999999999,3.700000000000000178,3.399999999999999911,0.000000000000000000,0.390000000000000013,0.579999999999999960,0.910000000000000031,0.000000000000000000,0.390000000000000013,0.000000000000000000,0.390000000000000013,1.100000000000000089,1.229999999999999982,4.709999999999999964,4.889999999999999680
