seq_id,bg10_id,geoid,logrecno,acs_year,pop16,pop16_me,lf,lf_me,clf,clf_me,emp,emp_me,unemp,unemp_me,aflf,aflf_me,nlf,nlf_me,lf_p,lf_mep,clf_p,clf_mep,emp_p,emp_mep,unemp_p,unemp_mep,aflf_p,aflf_mep,nlf_p,nlf_mep
34896,250039251001,15000US250039251001,2682,2014-18,200,204,190,204,190,204,190,204,0,12,0,12,10,18,95.000000000000000,31.85000000000000142,100.000000000000000,107.37000000000000455,100.000000000000000,107.370000000000004547,0.00000000000000000,6.32000000000000028,0.000000000000000000,6.32000000000000028,5.00000000000000000,7.41999999999999993
34897,250179800001,15000US250179800001,5321,2014-18,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,,,,,,
34898,250214422023,15000US250214422023,5769,2014-18,1190,344,975,349,975,349,975,349,0,12,0,12,215,86,81.930000000000007,17.30000000000000071,100.000000000000000,35.78999999999999915,100.000000000000000,35.789999999999999147,0.00000000000000000,1.22999999999999998,0.000000000000000000,1.22999999999999998,18.07000000000000028,5.00000000000000000
34899,250250916003,15000US250250916003,6503,2014-18,325,158,180,113,180,113,180,113,0,12,0,12,145,71,55.380000000000003,22.00000000000000000,100.000000000000000,62.78000000000000114,100.000000000000000,62.780000000000001137,0.00000000000000000,6.66999999999999993,0.000000000000000000,6.66999999999999993,44.61999999999999744,2.60999999999999988
34900,250010101001,15000US250010101001,2389,2014-18,891,163,637,164,637,164,584,146,53,53,0,12,254,74,71.489999999999995,12.94999999999999929,100.000000000000000,25.75000000000000000,91.680000000000007,32.899999999999998579,8.32000000000000028,8.03999999999999915,0.000000000000000000,1.87999999999999989,28.51000000000000156,6.45999999999999996
34901,250010101002,15000US250010101002,2390,2014-18,365,108,209,69,209,69,201,70,8,12,0,12,156,81,57.259999999999998,8.38000000000000078,100.000000000000000,33.00999999999999801,96.170000000000002,10.660000000000000142,3.83000000000000007,5.59999999999999964,0.000000000000000000,5.74000000000000021,42.74000000000000199,18.23999999999999844
34902,250010101003,15000US250010101003,2391,2014-18,661,164,438,126,438,126,403,134,35,37,0,12,223,94,66.260000000000005,9.65000000000000036,100.000000000000000,28.76999999999999957,92.010000000000005,15.339999999999999858,7.99000000000000021,8.13000000000000078,0.000000000000000000,2.74000000000000021,33.74000000000000199,11.50000000000000000
34903,250010101004,15000US250010101004,2392,2014-18,422,156,188,113,188,113,188,113,0,12,0,12,234,98,44.549999999999997,21.10999999999999943,100.000000000000000,60.10999999999999943,100.000000000000000,60.109999999999999432,0.00000000000000000,6.37999999999999989,0.000000000000000000,6.37999999999999989,55.45000000000000284,10.91000000000000014
34904,250010101005,15000US250010101005,2393,2014-18,490,110,309,90,309,90,282,84,27,24,0,12,181,68,63.060000000000002,11.69999999999999929,100.000000000000000,29.12999999999999901,91.260000000000005,5.700000000000000178,8.74000000000000021,7.33999999999999986,0.000000000000000000,3.87999999999999989,36.93999999999999773,11.13000000000000078
34905,250010102061,15000US250010102061,2394,2014-18,627,215,351,171,351,171,322,163,29,26,0,12,276,119,55.979999999999997,19.37000000000000099,100.000000000000000,48.71999999999999886,91.739999999999995,12.609999999999999432,8.25999999999999979,6.21999999999999975,0.000000000000000000,3.41999999999999993,44.02000000000000313,11.50999999999999979
