,name,type,address,zip,lat,lon
0,7-Eleven,grocery,462 Washington St,2135.0,42.348527,-71.15896
1,24 Seven,grocery,655 Warren St,2121.0,42.309813,-71.082883
2,24 Seven Convenience Store,grocery,655 Warren St,2121.0,42.309813,-71.082883
3,Food Land,grocery,199 Adams St,2122.0,42.302039,-71.06015
4,660 Corp,grocery,543 Commonwealth Ave,2215.0,42.349045,-71.097122
5,7-Eleven,grocery,509 Cambridge St,2134.0,42.353432,-71.138482
6,7-Eleven Inc,grocery,66 Charles St,2114.0,42.357576,-71.07045
7,75 State St Lobby Shop,grocery,75 State St,2109.0,42.358449,-71.055089
8,777 Convenience Store,grocery,215 Trenton St,2128.0,42.380846,-71.031079
9,777 Convenience Store,grocery,269 Main St,2129.0,42.377209,-71.066603
10,A & P Convenience Inc,grocery,315 Geneva Ave,2122.0,42.303125,-71.071064
11,Acougue Brasil Convenient Str,grocery,192 Brighton Ave,2134.0,42.353074,-71.134267
12,Ada's Tropical Inc,grocery,118 Norfolk St,2124.0,42.288061,-71.076899
13,Adam's Convenience Store,grocery,149 Hanover St,2108.0,42.357979,-71.062564
14,Adam's Convenience Store,grocery,295 Adams St,2122.0,42.299416,-71.058333
15,Adams Market,grocery,365 Adams St,2122.0,42.29699,-71.05666
16,After Seven,grocery,1310 Commonwealth Ave,2134.0,42.348467,-71.13425
17,Aj Variety,grocery,7 Bowdoin Park,2122.0,42.306422,-71.06774
18,Aj Variety,grocery,7 Bowdoin St,2124.0,42.299441,-71.073211
19,Allston Convenience Store,grocery,165 Allston St,2134.0,42.347782,-71.138157
20,Alltown Roxbury,grocery,85 Southampton St,2118.0,42.331916,-71.070384
21,Almany,grocery,1053 Tremont St,2120.0,42.336505,-71.085985
22,Anais Convenience Store,grocery,333 Washington St,2108.0,42.356916,-71.059193
23,Andrew Square Convenience,grocery,390 Dorchester St # A,2127.0,42.329751,-71.056393
24,Ashmont Convenience Store,grocery,1996 Dorchester Ave,2124.0,42.282899,-71.064887
25,Asj Enterprises,grocery,1244 River St,2136.0,42.255857,-71.123372
26,Base Trip Records,grocery,277 Babcock St # 1609,2215.0,42.352847,-71.120986
27,Bazics Convenience,grocery,1 Design Center Pl,2210.0,42.343883,-71.034115
28,Beacon Hill Convenience Store,grocery,55 Anderson St,2114.0,42.359319,-71.067773
29,Berkeley Street Market,grocery,56 Berkeley St,2116.0,42.346399,-71.070933
30,Blue Hill Convenience,grocery,137 Blue Hill Ave # B,2119.0,42.320263,-71.078079
31,Blue Hill Convenient Mkt Inc,grocery,322 Blue Hill Ave,2121.0,42.313276,-71.07939
32,Blue Hill Market,grocery,766 Blue Hill Ave,2124.0,42.298383,-71.086693
33,Boston Mart,grocery,42 Court St,2108.0,42.359129,-71.059189
34,Boston Mobile,grocery,651 Warren St,2121.0,42.309755,-71.083018
35,Boston Shawarma,grocery,226 Washington St,2108.0,42.358158,-71.057843
36,Boston Universal Multiservice,grocery,202 Washington St,2121.0,42.302776,-71.078017
37,Boston Variety,grocery,59 Causeway St,2114.0,42.3644,-71.062893
38,Bostonian Convenience Store,grocery,1464 Dorchester Ave,2122.0,42.300708,-71.059971
39,Botanica Anaiza,grocery,610 Centre St,2130.0,42.314381,-71.114039
40,Boutwell Corner Store,grocery,93 Burrell St,2119.0,42.323633,-71.068204
41,Brazilian Corner,grocery,192 Brighton Ave,2134.0,42.353074,-71.134267
42,Bull Market Deli,grocery,Liberty Sq,2109.0,42.359135,-71.055237
43,Bull Market Press Corp,grocery,9 W Broadway # 415,2127.0,42.34238,-71.057941
44,Bunker Hill Market,grocery,190 Bunker Hill St,2129.0,42.37864,-71.061767
45,Caballeros Market Inc,grocery,796 Washington St,2124.0,42.283635,-71.071442
46,Cappy's Convenience Store Inc,grocery,949 Dorchester Ave,2125.0,42.318625,-71.056916
47,Cappy's Store,grocery,90 Westland Ave,2115.0,42.343882,-71.089765
48,Caribbean Market,grocery,217 Bowdoin St,2122.0,42.305587,-71.067734
49,Casa Blanca Convenience Store,grocery,41 Burrell St,2119.0,42.322942,-71.070563
50,Cashion's Quick Stop,grocery,60 Temple Pl # 4,2111.0,42.354968,-71.061427
51,Central Convenience,grocery,395 Bowdoin St,2122.0,42.297795,-71.055116
52,Central Convenience,grocery,194 Dudley St,2119.0,42.328662,-71.081756
53,Central Convenience,grocery,218 Blue Hill Ave,2119.0,42.316986,-71.07784
54,Chamas Market,grocery,198 Humboldt Ave,2121.0,42.312992,-71.089547
55,Chi Chi Produce Market,grocery,2251 Washington St,2119.0,42.330593,-71.083509
56,City Convenience Store,grocery,182 Harvard Ave,2134.0,42.351097,-71.131131
57,Codman Square Mkt Grocery Str,grocery,573 Washington St,2124.0,42.29162,-71.071774
58,Columbia Road Market II,grocery,387 Columbia Rd,2125.0,42.311042,-71.070132
59,Community Convenience Store,grocery,44 Norfolk St,2124.0,42.289037,-71.07317
60,Constellation Convenience Str,grocery,1304 Commonwealth Ave,2134.0,42.348573,-71.134007
61,Convenience Plus,grocery,789 Harrison Ave,2118.0,42.340851,-71.070838
62,Corner Store,grocery,270 Hanover St,2113.0,42.363817,-71.054684
63,Corner Store Dorchester,grocery,166 Norfolk St,2124.0,42.286902,-71.078976
64,Courthouse Convenience,grocery,505 Washington St,2124.0,42.294025,-71.07199
65,Crossing Variety,grocery,48 Winter St,2108.0,42.355963,-71.062025
66,Cruz Market,grocery,237 Bowdoin St,2122.0,42.305987,-71.067226
67,D & D Convenience Store,grocery, ,2108.0,42.357979,-71.062564
68,D & D Convenience Store,grocery,1002 Dorchester Ave,2125.0,42.316578,-71.056634
69,D A Ave,grocery,446 Hyde Park Ave,2131.0,42.285191,-71.118645
70,D N D Convienence Store,grocery,734 Blue Hill Ave,2121.0,42.299755,-71.086236
71,Delight Corner,grocery,32 Oxford St,2111.0,42.351522,-71.060226
72,Delights Corner,grocery,34 Oxford St,2111.0,42.351547,-71.060297
73,Dicks Lobby Shop,grocery,10 Causeway St # 692,2222.0,42.365165,-71.063096
74,Don Quijote Market,grocery,1639 Washington St,2118.0,42.340851,-71.070838
75,Downtown Brazil,grocery,878 South St,2131.0,42.288855,-71.134121
76,Downtown Convenience Two,grocery,1100 Boylston St,2215.0,42.346803,-71.088468
77,Dudley Variety,grocery,389 Dudley St,2119.0,42.326182,-71.075493
78,East Coast Variety,grocery,67 Bennington St,2128.0,42.375635,-71.036531
79,Eben Ezer Market,grocery,22 Shelby St # 24,2128.0,42.377292,-71.032514
80,El Condor Market,grocery,337 Paris St,2128.0,42.37753,-71.031584
81,El Orgullo Mini Market,grocery,1325 Dorchester Ave,2122.0,42.305313,-71.0595
82,Esi Inc Of Tennessee,grocery,175 Federal St # 11,2110.0,42.353678,-71.056361
83,EVS Mini Mart,grocery,334 Dorchester St,2127.0,42.330816,-71.053943
84,Express Depot,grocery,360b Columbus Ave,2116.0,42.350812,-71.074581
85,Fenway Convenience,grocery,76 Kilmarnock St,2215.0,42.342507,-71.099234
86,Food Basket,grocery,563 Columbus Ave # 1,2118.0,42.341137,-71.081492
87,Food Market,grocery,1826 Dorchester Ave,2124.0,42.288544,-71.063288
88,Food Mart & Smoke Shop,grocery,142 Park St,2122.0,42.298505,-71.060873
89,Forest Hills Convenience Inc,grocery,2 Hyde Park Ave,2130.0,42.299763,-71.113608
90,Four Stars Mini Mart,grocery,85 Cummins Hwy,2131.0,42.284412,-71.125122
91,Franco's Place,grocery,160 Trenton St,2128.0,42.380174,-71.033135
92,Gateway Newstand,grocery,1 Faneuil Hall Market Pl,2109.0,42.359735,-71.053586
93,Gateway Newstand,grocery,8 Park Plz,2116.0,42.351517,-71.069139
94,Giovanni's Market,grocery,624 Columbus Ave,2118.0,42.339277,-71.083194
95,Glenville Market,grocery,85 Glenville Ave,2134.0,42.349553,-71.134922
96,Go Go Foods,grocery,119 Braintree St # 317,2134.0,42.356523,-71.137362
97,Gomez Convenience Store,grocery,285 Washington St,2121.0,42.300378,-71.075574
98,Green Elm,grocery,536 Centre St,2130.0,42.316859,-71.113272
99,Grocery Associates,grocery,82 Hillside St,2120.0,42.330508,-71.103186
