"Project Name:AEP1801E UT1 C Utility Vendor Contract- DCR- StatewideProject Code:AEP1801E UT1 C",,,,,,,,,,
Construction Trade,Hours Worked,,,,,,,,,
"CraftLevel","TotalEmployee",Caucasian,"AfricanAmerican",Hispanic,Asian,"NativeAmerican",Other,"NotSpecified","TotalFemale","TotalMale"
"Jacqueline Electric and Contracting, Inc.",,,,,,,,,,,
ELECTRICIAN,Journey,28.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00
Apprentice,28.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,
A/J Ratio,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Subtotal,56.00,56.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.00,
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal",28.00,"28.000.000.000.000.000.00","0.000.0028.00",,,,,,,,
"",,,,,,,,0.00,28.00,,
Apprentice,28.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,
A/J Ratio,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Subtotal,56.00,56.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.00,
Total  Journey Hours,28.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,
Total Apprentice Hours,28.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,
Total New Hire Hours,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Grand  Total Hours,56.00,56.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.00,
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal"
Apprentice
A/J Ratio
New Hire
Subtotal
"Project Name:AEP1802E UT1 C Utility Simple FixProject Code:AEP1802E UT1 C",,,,,,,,,,
Construction Trade,Hours Worked,,,,,,,,,
"CraftLevel","TotalEmployee",Caucasian,"AfricanAmerican",Hispanic,Asian,"NativeAmerican",Other,"NotSpecified","TotalFemale","TotalMale"
Batallas Electric Inc.,,,,,,,,,,,
ELECTRICIAN,Journey,3.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,3.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,3.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,3.00
LABORER,Journey,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00
Total for Contractor,Journey,6.00,3.00,0.00,3.00,0.00,0.00,0.00,0.00,,
"",,,,,,,,0.00,6.00,,
