"Project Name:AEP1802E UT1 C Utility Simple FixProject Code:AEP1802E UT1 C",,,,,,,,,,
Construction Trade,Hours Worked,,,,,,,,,
"CraftLevel","TotalEmployee",Caucasian,"AfricanAmerican",Hispanic,Asian,"NativeAmerican",Other,"NotSpecified","TotalFemale","TotalMale"
Batallas Electric Inc.,,,,,,,,,,,
ELECTRICIAN,Journey,29.00,7.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,29.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,29.00,7.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,29.00
LABORER,Journey,43.00,43.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,43.00,43.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.00
Total for Contractor,Journey,72.00,50.00,0.00,22.00,0.00,0.00,0.00,0.00,,
"",,,,,,,,,,0.00,72.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,72.00,50.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,72.00
Rise Engineering,,,,,,,,,,,
GLAZIER,Journey,107.00,0.00,0.00,107.00,0.00,0.00,0.00,0.00,0.00,107.00
Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Subtotal,107.00,0.00,0.00,107.00,0.00,0.00,0.00,0.00,0.00,107.00,
"Project Name:AEP1802E UT1 C Utility Simple FixProject Code:AEP1802E UT1 C",,,,,,,,,,
Construction Trade,Hours Worked,,,,,,,,,
"CraftLevel","TotalEmployee",Caucasian,"AfricanAmerican",Hispanic,Asian,"NativeAmerican",Other,"NotSpecified","TotalFemale","TotalMale"
INSULATOR (PIPES & TANKS),Journey,96.00,0.00,0.00,96.00,0.00,0.00,0.00,0.00,0.00,96.00
Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Subtotal,96.00,0.00,0.00,96.00,0.00,0.00,0.00,0.00,0.00,96.00,
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal",203.00,"0.000.00203.000.000.000.00","0.000.00203.00",,,,,,,,
"",,,,,,,,,0.00,203.00,
Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Subtotal,203.00,0.00,0.00,203.00,0.00,0.00,0.00,0.00,0.00,203.00,
Total  Journey Hours,275.00,50.00,0.00,225.00,0.00,0.00,0.00,0.00,0.00,275.00,
Total Apprentice Hours,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total New Hire Hours,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Grand  Total Hours,275.00,50.00,0.00,225.00,0.00,0.00,0.00,0.00,0.00,275.00,
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal"
Apprentice
A/J Ratio
New Hire
Subtotal
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal"
Apprentice
A/J Ratio
New Hire
Subtotal
"Project Name:CHE1604 DC1 CM Construction Management Services Chelsea Soldiers' Home Comunity Living CenterProject Code:CHE1604 DC1 CM",,,,,,,,,,,,
Construction Trade,Hours Worked,,,,,,,,,,,
"","CraftLevel","TotalEmployee",Caucasian,"AfricanAmerican",Hispanic,Asian,"NativeAmerican",Other,"NotSpecified","TotalFemale","TotalMale",
"",,,,,,,,,,,,
Astro Crane Service,,,,,,,,,,,,
HOISTING ENGINEER/CRANES/GRADALLS,Journey,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",Subtotal,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal",2.00,"2.000.000.000.000.000.00","0.000.002.00",,,,,,,,,
"",,,,,,,,,,0.00,2.00,
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",Subtotal,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,
Chet's Welding Inc.,,,,,,,,,,,,
HOISTING ENGINEER/CRANES/GRADALLS,Journey,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",Subtotal,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,
Total for Contractor,Journey,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
"",,,,,,,,,,0.00,3.00,
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",Subtotal,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,
"E. Amanti & Sons, Inc",,,,,,,,,,,,
PIPEFITTER,Journey,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Apprentice,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Subtotal,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,,
"0.000.002.00",
0.00,2.00
"Project Name:CHE1604 DC1 CM Construction Management Services Chelsea Soldiers' Home Comunity Living CenterProject Code:CHE1604 DC1 CM",,,,,,,,,,,,
Construction Trade,Hours Worked,,,,,,,,,,,
"","CraftLevel","TotalEmployee",Caucasian,"AfricanAmerican",Hispanic,Asian,"NativeAmerican",Other,"NotSpecified","TotalFemale","TotalMale",
"",,,,,,,,,,,,
PIPEFITTER & STEAMFITTER,Journey,139.00,139.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,139.00,
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",Subtotal,139.00,139.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,139.00,
PLUMBERS & GASFITTERS,Journey,83.00,83.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83.00,
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
"",Subtotal,83.00,83.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83.00,
Total for Contractor,Journey,222.00,222.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
"",,,,,,,,,0.00,222.00,,
"",Apprentice,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,
"",A/J Ratio,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
